Donors Returns - 2014-15,
 data exported: 01/Feb/2017 12:02,
DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"Jianping Fu Min Zhang","","","","","Australian Labor Party (Victorian Branch)","15/10/2014 12:00:00 AM","100000.0000",
"Mr Michael Yates","","","","","Liberal Party of Australia (Victorian Division)","09/07/2014 12:00:00 AM","20000.0000",
"YILIN ZHU","","","","","Australian Labor Party (N.S.W. Branch)","26/03/2015 12:00:00 AM","30000.0000",
"YILIN ZHU","","","","","Australian Labor Party (N.S.W. Branch)","26/03/2015 12:00:00 AM","20000.0000",
"100 Percent Events Pty Ltd","Suite 2, Level 8, 111 Phillip Street","PARRAMATTA","NSW","2150","Pat Farmer/LIB-NSW","24/03/2015 12:00:00 AM","4000.0000",
"26 Summers Pty Ltd","69 St Vincent Place South Albert Park","ALBERT PARK","VIC","3206","#Sustainable Population Party","05/03/2015 12:00:00 AM","20000.0000",
"26 Summers Pty Ltd","69 St Vincent Place South Albert Park","ALBERT PARK","VIC","3206","#Sustainable Population Party","24/07/2014 12:00:00 AM","20000.0000",
"26 Summers Pty Ltd","69 St Vincent Place South Albert Park","ALBERT PARK","VIC","3206","#Sustainable Population Party","31/03/2015 12:00:00 AM","16000.0000",
"26 Summers Pty Ltd","69 St Vincent Place South Albert Park","ALBERT PARK","VIC","3206","#Sustainable Population Party","21/07/2014 12:00:00 AM","13000.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","14/08/2014 12:00:00 AM","1140.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","15/04/2015 12:00:00 AM","700.0000",
"Ace Gutters Pty Ltd","69 Boundary Road","MORTDALE","NSW","2223","Liberal Party of Australia, NSW Division","30/03/2015 12:00:00 AM","450.0000",
